apo VV Defensiv - Privat, Defensiv, 8, 1J, 1.92%, 2.67%
LGT Multi-Assets-LGT GIM Bal. B EUR, Defensiv, 4, 3J, 10.86%, 6.0%
Metzler Vermögensverw.fonds 30 A, Defensiv, 4, 3J, 8.72%, 4.05%
Metzler Wertsicherungsfonds 93 A, Defensiv, 4, 3J, 6.32%, 2.65%
Multicoop.-Strat.Income EUR C (EUR), Defensiv, 4, 3J, 9.57%, 4.19%
PWM Vermögens.-DWS-EO Fix.Inc., Defensiv, 4, 3J, 4.4%, 1.73%
UBS (D) Konzeptfonds III, Defensiv, 4, 3J, 12.12%, 3.91%
UBS(Lux)Strategy-Income (EUR) P-acc, Defensiv, 4, 3J, 6.44%, 3.12%
UniStrategie: Konservativ, Defensiv, 4, 3J, 12.0%, 4.22%
WARBURG-DEFENSIV-FONDS I, Defensiv, 4, 3J, n/a, n/a
apo VV Defensiv - Privat, Defensiv, 4, 5J, n/a, n/a
AURETAS strategy defensive (D) C, Defensiv, 4, 5J, 19.64%, 2.92%
BERENBERG-1590-ERTRAG-UNIVERS. A, Defensiv, 4, 5J, 14.07%, 1.22%
BERENBERG-1590-STIFTUNG, Defensiv, 4, 5J, 13.2%, 2.69%
Bethmann Stiftungsfonds P, Defensiv, 4, 5J, 22.48%, 3.71%
BHF Total Return FT, Defensiv, 4, 5J, 21.81%, 3.54%
BHF Tr.Exkl.:BHF Rend.Portf.FT, Defensiv, 4, 5J, 13.98%, 1.78%
Credit Suisse MACS Classic 20 P, Defensiv, 4, 5J, 18.28%, 3.7%
D&R Konservative Strategi.Eur. P, Defensiv, 4, 5J, n/a, n/a
D&R Substanz, Defensiv, 4, 5J, -0.38%, 1.05%
FO Vermögensverwalterfonds, Defensiv, 4, 5J, n/a, n/a
FOS Performance und Sicherheit, Defensiv, 4, 5J, 14.65%, n/a
Hamburger Stiftungsfonds T, Defensiv, 4, 5J, 16.76%, 4.16%
Haspa PB Strategie - Rendite, Defensiv, 4, 5J, 14.86%, 3.53%
HVB Verm.depot privat Def. PI, Defensiv, 4, 5J, -1.11%, 2.95%
LGT Multi-Assets-LGT GIM Bal. B EUR, Defensiv, 4, 5J, 16.97%, 6.1%
Metzler Vermögensverw.fonds 30 A, Defensiv, 4, 5J, n/a, n/a
Metzler Wertsicherungsfonds 93 A, Defensiv, 4, 5J, 13.21%, 2.75%
Multicoop.-Strat.Income EUR C (EUR), Defensiv, 4, 5J, n/a, n/a
PWM Vermögens.-DWS-EO Fix.Inc., Defensiv, 4, 5J, 11.28%, 1.65%
UBS (D) Konzeptfonds III, Defensiv, 4, 5J, 0,26, 4.35%
UBS(Lux)Strategy-Income (EUR) P-acc, Defensiv, 4, 5J, n/a, n/a
UniStrategie: Konservativ, Defensiv, 4, 5J, 29.68%, 3.8%
WARBURG-DEFENSIV-FONDS I, Defensiv, 4, 5J, n/a, n/a
Anlagestruktur 1 A EUR, Ausgewogen, 8, 1J, 0.6%, 5.15%
AURETAS strategy balanced (D) C, Ausgewogen, 8, 1J, -0.02%, 4.06%
Basler-International DWS, Ausgewogen, 8, 1J, 3.12%, 5.06%
BERENBERG-1590-STRATEGIE-UNIV. A, Ausgewogen, 8, 1J, 2.68%, 3.97%
Bethmann Vermögensv.Ausgewogen, Ausgewogen, 8, 1J, 3.76%, 5.88%
BHF Tr.Exkl.:BHF Value Bal.FT, Ausgewogen, 8, 1J, 3.76%, 5.23%
BHF Tr.Fd.Exkl.:BHF Ausgew.FT, Ausgewogen, 8, 1J, 2.34%, 3.87%
BHF Tr.Fd.Exkl.:BHF Mul.Ass.FT, Ausgewogen, 8, 1J, 0.62%, 3.78%
Castell VV Ausgewogen I, Ausgewogen, 8, 1J, 2.12%, 3.61%
Credit Suisse MACS Classic 40 P, Ausgewogen, 8, 1J, 4.34%, 4.46%
Credit Suisse MACS Classic 60 P, Ausgewogen, 8, 1J, 5.28%, 5.82%
CS Inv.12-CSL P.F.Balanced EUR B, Ausgewogen, 8, 1J, 3.59%, 5.03%
D&R Strategie - Ausgewogen P, Ausgewogen, 8, 1J, -0.08%, 1.81%
db PBC-DB Best Alloc.-Balance R, Ausgewogen, 8, 1J, 1.82%, 4.93%
Deka-BR 45, Ausgewogen, 8, 1J, 3.57%, 3.3%
Do - Balanced, Ausgewogen, 8, 1J, 0.89%, 2.56%
easyfolio 50, Ausgewogen, 8, 1J, 3.53%, 5.58%
EdR Patrimoine A, Ausgewogen, 8, 1J, 0,03, 3.67%
Flossbach v.Storch-Mul.As.Bal. I, Ausgewogen, 8, 1J, 3.62%, 4.24%
Flossbach v.Storch-Mul.As.Bal. IT, Ausgewogen, 8, 1J, 3.61%, 4.23%
Haspa PB Strategie - Wachstum, Ausgewogen, 8, 1J, 3.74%, 4.25%
HSBC Strategie Balanced AC, Ausgewogen, 8, 1J, 4.53%, 5.11%
HUK-Vermögensfonds Dynamik, Ausgewogen, 8, 1J, 3.58%, 8.75%
HVB Verm.dep.priv.Wachstum PI, Ausgewogen, 8, 1J, 1.27%, 4.95%
HVB Verm.dep.privat Balance PI, Ausgewogen, 8, 1J, -0.26%, 3.76%
Hypo PF Ausgewogen A, Ausgewogen, 8, 1J, 2.17%, 2.85%
JSS Inv.-JSS GlobalS.-Ba.(EUR) P dist, Ausgewogen, 8, 1J, 4.84%, 4.32%
Lampe Ausgewogen, Ausgewogen, 8, 1J, 2.81%, 3.91%
LBBW Balance CR40, Ausgewogen, 8, 1J, 3.96%, 3.48%
LGT MA SICAV-LGT Strat.4 Years (EUR)B, Ausgewogen, 8, 1J, 4.79%, 4.35%
Metzler Vermögensverw.fonds 50 A, Ausgewogen, 8, 1J, 1.46%, 4.13%
Multicoop.-Strat.Balanc.(EUR) C (EUR), Ausgewogen, 8, 1J, 3.21%, 4.18%
PB VP Klassik 50 PI 1, Ausgewogen, 8, 1J, -0.18%, 3.84%
Pictet Str.Fd-P.Mandat Aus.EUR P, Ausgewogen, 8, 1J, 1.05%, 4.68%
Pioneer Fds-Global Multi-Asset C(EUR)(Cap.), Ausgewogen, 8, 1J, 3.75%, 5.89%
Raiffeisenfonds-Ertrag (R) A, Ausgewogen, 8, 1J, 3.49%, 4.31%
Sauren Global Balanced A, Ausgewogen, 8, 1J, 4.14%, 2.6%
Schoellerbk Gl.Pension Fds A, Ausgewogen, 8, 1J, 3.8%, 3.76%
Sydbank Vermögensverw. Dynam. A, Ausgewogen, 8, 1J, 2.29%, 4.85%
UBS (D) Konzeptfonds IV, Ausgewogen, 8, 1J, 3.81%, 4.49%
UBS(L.)Strat.Fd-Balanced (EUR) P-acc, Ausgewogen, 8, 1J, 7.45%, 4.29%
UniStrategie: Ausgewogen, Ausgewogen, 8, 1J, 4.85%, 4.03%
WALSER Str.-Strategie Balance, Ausgewogen, 8, 1J, 2.18%, 3.65%
Anlagestruktur 1 A EUR, Ausgewogen, 8, 3J, 9.54%, 7.66%
AURETAS strategy balanced (D) C, Ausgewogen, 8, 3J, 13.19%, 5.54%
Basler-International DWS, Ausgewogen, 8, 3J, 11.96%, 8.02%
BERENBERG-1590-STRATEGIE-UNIV. A, Ausgewogen, 8, 3J, 3.51%, 6.31%
Bethmann Vermögensv.Ausgewogen, Ausgewogen, 8, 3J, 12.56%, 9.06%
BHF Tr.Exkl.:BHF Value Bal.FT, Ausgewogen, 8, 3J, 18.05%, 7.87%
BHF Tr.Fd.Exkl.:BHF Ausgew.FT, Ausgewogen, 8, 3J, 5.76%, 7.03%
BHF Tr.Fd.Exkl.:BHF Mul.Ass.FT, Ausgewogen, 8, 3J, 1.68%, 6.95%
Castell VV Ausgewogen I, Ausgewogen, 8, 3J, 7.69%, 5.06%
Credit Suisse MACS Classic 40 P, Ausgewogen, 8, 3J, 13.2%, 6.84%
Credit Suisse MACS Classic 60 P, Ausgewogen, 8, 3J, 15.8%, 9.49%
CS Inv.12-CSL P.F.Balanced EUR B, Ausgewogen, 8, 3J, 10.02%, 8.11%
D&R Strategie - Ausgewogen P, Ausgewogen, 8, 3J, -4.22%, 3.48%
db PBC-DB Best Alloc.-Balance R, Ausgewogen, 8, 3J, 12.16%, 8.05%
Deka-BR 45, Ausgewogen, 8, 3J, 8.88%, 4.67%
Do - Balanced, Ausgewogen, 8, 3J, 8.09%, 4.45%
easyfolio 50, Ausgewogen, 8, 3J, 14.21%, 8.75%
EdR Patrimoine A, Ausgewogen, 8, 3J, 8.28%, 6.29%
Flossbach v.Storch-Mul.As.Bal. I, Ausgewogen, 8, 3J, 21.67%, 6.98%
Flossbach v.Storch-Mul.As.Bal. IT, Ausgewogen, 8, 3J, n/a, n/a
Haspa PB Strategie - Wachstum, Ausgewogen, 8, 3J, 5.29%, 6.72%
HSBC Strategie Balanced AC, Ausgewogen, 8, 3J, 10.88%, 8.78%
HUK-Vermögensfonds Dynamik, Ausgewogen, 8, 3J, 18.77%, 14.15%
HVB Verm.dep.priv.Wachstum PI, Ausgewogen, 8, 3J, 4.49%, 7.45%
HVB Verm.dep.privat Balance PI, Ausgewogen, 8, 3J, 1.77%, 5.35%
Hypo PF Ausgewogen A, Ausgewogen, 8, 3J, 10.29%, 5.39%
JSS Inv.-JSS GlobalS.-Ba.(EUR) P dist, Ausgewogen, 8, 3J, 15.18%, 7.01%
Lampe Ausgewogen, Ausgewogen, 8, 3J, 3.79%, 6.55%
LBBW Balance CR40, Ausgewogen, 8, 3J, 8.64%, 5.9%
LGT MA SICAV-LGT Strat.4 Years (EUR)B, Ausgewogen, 8, 3J, 10.39%, 6.4%
Metzler Vermögensverw.fonds 50 A, Ausgewogen, 8, 3J, 4.65%, 5.36%
Multicoop.-Strat.Balanc.(EUR) C (EUR), Ausgewogen, 8, 3J, 9.21%, 6.96%
PB VP Klassik 50 PI 1, Ausgewogen, 8, 3J, 4.36%, 5.5%
Pictet Str.Fd-P.Mandat Aus.EUR P, Ausgewogen, 8, 3J, 10.57%, 7.71%
Pioneer Fds-Global Multi-Asset C(EUR)(Cap.), Ausgewogen, 8, 3J, 9.73%, 8.58%
Raiffeisenfonds-Ertrag (R) A, Ausgewogen, 8, 3J, 15.13%, 6.49%
Sauren Global Balanced A, Ausgewogen, 8, 3J, 7.76%, 3.93%
Schoellerbk Gl.Pension Fds A, Ausgewogen, 8, 3J, 14.58%, 5.83%
Sydbank Vermögensverw. Dynam. A, Ausgewogen, 8, 3J, 13.16%, 7.4%
UBS (D) Konzeptfonds IV, Ausgewogen, 8, 3J, 13.26%, 6.97%
UBS(L.)Strat.Fd-Balanced (EUR) P-acc, Ausgewogen, 8, 3J, 11.29%, 6.57%
UniStrategie: Ausgewogen, Ausgewogen, 8, 3J, 12.82%, 7.08%
WALSER Str.-Strategie Balance, Ausgewogen, 8, 3J, 8.94%, 6.51%
Anlagestruktur 1 A EUR, Ausgewogen, 8, 5J, n/a, n/a
AURETAS strategy balanced (D) C, Ausgewogen, 8, 5J, 27.97%, 4.84%
Basler-International DWS, Ausgewogen, 8, 5J, 33.01%, 7.3%
BERENBERG-1590-STRATEGIE-UNIV. A, Ausgewogen, 8, 5J, 14.7%, 5.57%
Bethmann Vermögensv.Ausgewogen, Ausgewogen, 8, 5J, 30.71%, 8.16%
BHF Tr.Exkl.:BHF Value Bal.FT, Ausgewogen, 8, 5J, 39.17%, 6.98%
BHF Tr.Fd.Exkl.:BHF Ausgew.FT, Ausgewogen, 8, 5J, 21.66%, 6.11%
BHF Tr.Fd.Exkl.:BHF Mul.Ass.FT, Ausgewogen, 8, 5J, 11.35%, 6.15%
Castell VV Ausgewogen I, Ausgewogen, 8, 5J, n/a, n/a
Credit Suisse MACS Classic 40 P, Ausgewogen, 8, 5J, 27.15%, 6.22%
Credit Suisse MACS Classic 60 P, Ausgewogen, 8, 5J, 35.74%, 8.63%
CS Inv.12-CSL P.F.Balanced EUR B, Ausgewogen, 8, 5J, 25.03%, 7.24%
D&R Strategie - Ausgewogen P, Ausgewogen, 8, 5J, -4.09%, 3.62%
db PBC-DB Best Alloc.-Balance R, Ausgewogen, 8, 5J, n/a, n/a
Deka-BR 45, Ausgewogen, 8, 5J, 26.67%, 4.39%
Do - Balanced, Ausgewogen, 8, 5J, 15.94%, n/a
easyfolio 50, Ausgewogen, 8, 5J, n/a, n/a
EdR Patrimoine A, Ausgewogen, 8, 5J, 20.33%, 5.59%
Flossbach v.Storch-Mul.As.Bal. I, Ausgewogen, 8, 5J, 38.69%, 6.15%
Flossbach v.Storch-Mul.As.Bal. IT, Ausgewogen, 8, 5J, n/a, n/a
Haspa PB Strategie - Wachstum, Ausgewogen, 8, 5J, 16.38%, 5.99%
HSBC Strategie Balanced AC, Ausgewogen, 8, 5J, 24.22%, 7.78%
HUK-Vermögensfonds Dynamik, Ausgewogen, 8, 5J, 51.11%, 12.49%
HVB Verm.dep.priv.Wachstum PI, Ausgewogen, 8, 5J, 11.46%, 6.47%
HVB Verm.dep.privat Balance PI, Ausgewogen, 8, 5J, 6.25%, 4.67%
Hypo PF Ausgewogen A, Ausgewogen, 8, 5J, 27.15%, 5.0%
JSS Inv.-JSS GlobalS.-Ba.(EUR) P dist, Ausgewogen, 8, 5J, 40.47%, 6.35%
Lampe Ausgewogen, Ausgewogen, 8, 5J, 14.25%, 5.83%
LBBW Balance CR40, Ausgewogen, 8, 5J, 24.69%, 5.31%
LGT MA SICAV-LGT Strat.4 Years (EUR)B, Ausgewogen, 8, 5J, 21.08%, 5.82%
Metzler Vermögensverw.fonds 50 A, Ausgewogen, 8, 5J, n/a, n/a
Multicoop.-Strat.Balanc.(EUR) C (EUR), Ausgewogen, 8, 5J, n/a, n/a
PB VP Klassik 50 PI 1, Ausgewogen, 8, 5J, 19.02%, 4.92%
Pictet Str.Fd-P.Mandat Aus.EUR P, Ausgewogen, 8, 5J, 26.94%, 6.93%
Pioneer Fds-Global Multi-Asset C(EUR)(Cap.), Ausgewogen, 8, 5J, 22.91%, 8.02%
Raiffeisenfonds-Ertrag (R) A, Ausgewogen, 8, 5J, 29.64%, 5.78%
Sauren Global Balanced A, Ausgewogen, 8, 5J, 21.75%, 3.61%
Schoellerbk Gl.Pension Fds A, Ausgewogen, 8, 5J, 33.85%, 5.43%
Sydbank Vermögensverw. Dynam. A, Ausgewogen, 8, 5J, 27.57%, 6.41%
UBS (D) Konzeptfonds IV, Ausgewogen, 8, 5J, 35.79%, 6.68%
UBS(L.)Strat.Fd-Balanced (EUR) P-acc, Ausgewogen, 8, 5J, 28.51%, 6.01%
UniStrategie: Ausgewogen, Ausgewogen, 8, 5J, 42.5%, 6.4%
WALSER Str.-Strategie Balance, Ausgewogen, 8, 5J, 27.66%, 5.88%
Anlagestruktur 1 A EUR, Ausgewogen, 7, 1J, 0.58%, 5.18%
AURETAS strategy balanced (D) C, Ausgewogen, 7, 1J, 0.47%, 4.1%
Basler-International DWS, Ausgewogen, 7, 1J, 4.62%, 5.19%
BERENBERG-1590-STRATEGIE-UNIV. A, Ausgewogen, 7, 1J, 3.06%, 3.98%
Bethmann Vermögensv.Ausgewogen, Ausgewogen, 7, 1J, 4.59%, 5.72%
BHF Tr.Exkl.:BHF Value Bal.FT, Ausgewogen, 7, 1J, 5.69%, 5.2%
BHF Tr.Fd.Exkl.:BHF Ausgew.FT, Ausgewogen, 7, 1J, 2.78%, 3.8%
BHF Tr.Fd.Exkl.:BHF Mul.Ass.FT, Ausgewogen, 7, 1J, 2.27%, 3.66%
Castell VV Ausgewogen I, Ausgewogen, 7, 1J, 0,03, 3.6%
Credit Suisse MACS Classic 40 P, Ausgewogen, 7, 1J, 4.2%, 4.4%
Credit Suisse MACS Classic 60 P, Ausgewogen, 7, 1J, 5.91%, 5.72%
CS Inv.12-CSL P.F.Balanced EUR B, Ausgewogen, 7, 1J, 4.02%, 4.91%
D&R Strategie - Ausgewogen P, Ausgewogen, 7, 1J, 0.18%, 1.78%
db PBC-DB Best Alloc.-Balance R, Ausgewogen, 7, 1J, 2.65%, 4.8%
Deka-BR 45, Ausgewogen, 7, 1J, 3.83%, 3.35%
Do - Balanced, Ausgewogen, 7, 1J, 1.47%, 2.51%
easyfolio 50, Ausgewogen, 7, 1J, 4.25%, 5.56%
EdR Patrimoine A, Ausgewogen, 7, 1J, 4.27%, 3.59%
Flossbach v.Storch-Mul.As.Bal. I, Ausgewogen, 7, 1J, 4.43%, 4.28%
Flossbach v.Storch-Mul.As.Bal. IT, Ausgewogen, 7, 1J, 4.41%, 4.27%
Haspa PB Strategie - Wachstum, Ausgewogen, 7, 1J, 5.58%, 4.32%
HSBC Strategie Balanced AC, Ausgewogen, 7, 1J, 5.39%, 5.09%
HUK-Vermögensfonds Dynamik, Ausgewogen, 7, 1J, 6.53%, 8.62%
HVB Verm.dep.priv.Wachstum PI, Ausgewogen, 7, 1J, 2.97%, 4.86%
HVB Verm.dep.privat Balance PI, Ausgewogen, 7, 1J, 1.05%, 3.72%
Hypo PF Ausgewogen A, Ausgewogen, 7, 1J, 2.87%, 2.84%
JSS Inv.-JSS GlobalS.-Ba.(EUR) P dist, Ausgewogen, 7, 1J, 5.34%, 4.33%
Lampe Ausgewogen, Ausgewogen, 7, 1J, 2.51%, 3.81%
LBBW Balance CR40, Ausgewogen, 7, 1J, 5.15%, 3.41%
LGT MA SICAV-LGT Strat.4 Years (EUR)B, Ausgewogen, 7, 1J, 5.35%, 4.32%
Metzler Vermögensverw.fonds 50 A, Ausgewogen, 7, 1J, 1.47%, 4.13%
Multicoop.-Strat.Balanc.(EUR) C (EUR), Ausgewogen, 7, 1J, 3.5%, 4.08%
PB VP Klassik 50 PI 1, Ausgewogen, 7, 1J, 0.63%, 3.71%
Pictet Str.Fd-P.Mandat Aus.EUR P, Ausgewogen, 7, 1J, 1.41%, 4.67%
Pioneer Fds-Global Multi-Asset C(EUR)(Cap.), Ausgewogen, 7, 1J, 4.97%, 5.82%
Raiffeisenfonds-Ertrag (R) A, Ausgewogen, 7, 1J, 4.27%, 4.35%
Sauren Global Balanced A, Ausgewogen, 7, 1J, 4.68%, 2.53%
Schoellerbk Gl.Pension Fds A, Ausgewogen, 7, 1J, 5.03%, 3.82%
Sydbank Vermögensverw. Dynam. A, Ausgewogen, 7, 1J, 3.84%, 4.78%
UBS (D) Konzeptfonds IV, Ausgewogen, 7, 1J, 0,05, 4.46%
UBS(L.)Strat.Fd-Balanced (EUR) P-acc, Ausgewogen, 7, 1J, 7.8%, 4.23%
UniStrategie: Ausgewogen, Ausgewogen, 7, 1J, 5.83%, 3.99%
WALSER Str.-Strategie Balance, Ausgewogen, 7, 1J, 2.99%, 3.69%
Anlagestruktur 1 A EUR, Ausgewogen, 7, 3J, 12.05%, 7.63%
AURETAS strategy balanced (D) C, Ausgewogen, 7, 3J, 14.39%, 5.55%
Basler-International DWS, Ausgewogen, 7, 3J, 14.73%, 0,08
BERENBERG-1590-STRATEGIE-UNIV. A, Ausgewogen, 7, 3J, 5.31%, 6.3%
Bethmann Vermögensv.Ausgewogen, Ausgewogen, 7, 3J, 14.42%, 9.02%
BHF Tr.Exkl.:BHF Value Bal.FT, Ausgewogen, 7, 3J, 0,21, 7.83%
BHF Tr.Fd.Exkl.:BHF Ausgew.FT, Ausgewogen, 7, 3J, 7.19%, 7.02%
BHF Tr.Fd.Exkl.:BHF Mul.Ass.FT, Ausgewogen, 7, 3J, 4.08%, 6.94%
Castell VV Ausgewogen I, Ausgewogen, 7, 3J, 8.91%, 5.06%
Credit Suisse MACS Classic 40 P, Ausgewogen, 7, 3J, 14.43%, 6.82%
Credit Suisse MACS Classic 60 P, Ausgewogen, 7, 3J, 18.19%, 9.45%
CS Inv.12-CSL P.F.Balanced EUR B, Ausgewogen, 7, 3J, 12.23%, 8.09%
D&R Strategie - Ausgewogen P, Ausgewogen, 7, 3J, -3.85%, 3.5%
db PBC-DB Best Alloc.-Balance R, Ausgewogen, 7, 3J, 13.85%, 8.01%
Deka-BR 45, Ausgewogen, 7, 3J, 10.44%, 4.68%
Do - Balanced, Ausgewogen, 7, 3J, 9.3%, 4.43%
easyfolio 50, Ausgewogen, 7, 3J, 16.52%, 8.71%
EdR Patrimoine A, Ausgewogen, 7, 3J, 10.02%, 6.32%
Flossbach v.Storch-Mul.As.Bal. I, Ausgewogen, 7, 3J, 23.9%, 6.96%
Flossbach v.Storch-Mul.As.Bal. IT, Ausgewogen, 7, 3J, n/a, n/a
Haspa PB Strategie - Wachstum, Ausgewogen, 7, 3J, 7.08%, 6.73%
HSBC Strategie Balanced AC, Ausgewogen, 7, 3J, 12.87%, 8.78%
HUK-Vermögensfonds Dynamik, Ausgewogen, 7, 3J, 22.86%, 14.09%
HVB Verm.dep.priv.Wachstum PI, Ausgewogen, 7, 3J, 6.33%, 7.4%
HVB Verm.dep.privat Balance PI, Ausgewogen, 7, 3J, 3.17%, 5.32%
Hypo PF Ausgewogen A, Ausgewogen, 7, 3J, 11.78%, 5.37%
JSS Inv.-JSS GlobalS.-Ba.(EUR) P dist, Ausgewogen, 7, 3J, 17.51%, 7.01%
Lampe Ausgewogen, Ausgewogen, 7, 3J, 4.74%, 6.55%
LBBW Balance CR40, Ausgewogen, 7, 3J, 9.57%, 5.89%
LGT MA SICAV-LGT Strat.4 Years (EUR)B, Ausgewogen, 7, 3J, 11.84%, 6.36%
Metzler Vermögensverw.fonds 50 A, Ausgewogen, 7, 3J, 6.68%, 5.35%
Multicoop.-Strat.Balanc.(EUR) C (EUR), Ausgewogen, 7, 3J, 11.23%, 6.94%
PB VP Klassik 50 PI 1, Ausgewogen, 7, 3J, 6.07%, 5.47%
Pictet Str.Fd-P.Mandat Aus.EUR P, Ausgewogen, 7, 3J, 13.43%, 7.71%
Pioneer Fds-Global Multi-Asset C(EUR)(Cap.), Ausgewogen, 7, 3J, 12.76%, 8.54%
Raiffeisenfonds-Ertrag (R) A, Ausgewogen, 7, 3J, 17.81%, 6.49%
Sauren Global Balanced A, Ausgewogen, 7, 3J, 8.93%, 3.93%
Schoellerbk Gl.Pension Fds A, Ausgewogen, 7, 3J, 17.02%, 5.81%
Sydbank Vermögensverw. Dynam. A, Ausgewogen, 7, 3J, 15.49%, 7.36%
UBS (D) Konzeptfonds IV, Ausgewogen, 7, 3J, 15.09%, 6.96%
UBS(L.)Strat.Fd-Balanced (EUR) P-acc, Ausgewogen, 7, 3J, 12.87%, 6.57%
UniStrategie: Ausgewogen, Ausgewogen, 7, 3J, 16.04%, 7.09%
WALSER Str.-Strategie Balance, Ausgewogen, 7, 3J, 10.5%, 6.51%
Anlagestruktur 1 A EUR, Ausgewogen, 7, 5J, n/a, n/a
AURETAS strategy balanced (D) C, Ausgewogen, 7, 5J, 28.44%, 4.86%
Basler-International DWS, Ausgewogen, 7, 5J, 34.99%, 7.3%
BERENBERG-1590-STRATEGIE-UNIV. A, Ausgewogen, 7, 5J, 16.0%, 5.61%
Bethmann Vermögensv.Ausgewogen, Ausgewogen, 7, 5J, 31.86%, 8.16%
BHF Tr.Exkl.:BHF Value Bal.FT, Ausgewogen, 7, 5J, 41.42%, 7.02%
BHF Tr.Fd.Exkl.:BHF Ausgew.FT, Ausgewogen, 7, 5J, 22.42%, 6.12%
BHF Tr.Fd.Exkl.:BHF Mul.Ass.FT, Ausgewogen, 7, 5J, 12.8%, 6.15%
Castell VV Ausgewogen I, Ausgewogen, 7, 5J, n/a, n/a
Credit Suisse MACS Classic 40 P, Ausgewogen, 7, 5J, 27.35%, 6.27%
Credit Suisse MACS Classic 60 P, Ausgewogen, 7, 5J, 36.59%, 8.71%
CS Inv.12-CSL P.F.Balanced EUR B, Ausgewogen, 7, 5J, 26.55%, 7.29%
D&R Strategie - Ausgewogen P, Ausgewogen, 7, 5J, -3.28%, 3.65%
db PBC-DB Best Alloc.-Balance R, Ausgewogen, 7, 5J, n/a, n/a
Deka-BR 45, Ausgewogen, 7, 5J, 27.56%, 4.46%
Do - Balanced, Ausgewogen, 7, 5J, n/a, n/a
easyfolio 50, Ausgewogen, 7, 5J, n/a, n/a
EdR Patrimoine A, Ausgewogen, 7, 5J, 22.37%, 5.59%
Flossbach v.Storch-Mul.As.Bal. I, Ausgewogen, 7, 5J, 40.05%, 6.18%
Flossbach v.Storch-Mul.As.Bal. IT, Ausgewogen, 7, 5J, n/a, n/a
Haspa PB Strategie - Wachstum, Ausgewogen, 7, 5J, 17.91%, 0,06
HSBC Strategie Balanced AC, Ausgewogen, 7, 5J, 24.61%, 7.81%
HUK-Vermögensfonds Dynamik, Ausgewogen, 7, 5J, 52.83%, 12.54%
HVB Verm.dep.priv.Wachstum PI, Ausgewogen, 7, 5J, 11.87%, 6.45%
HVB Verm.dep.privat Balance PI, Ausgewogen, 7, 5J, 6.52%, 4.65%
Hypo PF Ausgewogen A, Ausgewogen, 7, 5J, 27.52%, 5.03%
JSS Inv.-JSS GlobalS.-Ba.(EUR) P dist, Ausgewogen, 7, 5J, 40.41%, 6.37%
Lampe Ausgewogen, Ausgewogen, 7, 5J, 14.58%, 5.86%
LBBW Balance CR40, Ausgewogen, 7, 5J, 26.14%, 5.34%
LGT MA SICAV-LGT Strat.4 Years (EUR)B, Ausgewogen, 7, 5J, 21.51%, 5.83%
Metzler Vermögensverw.fonds 50 A, Ausgewogen, 7, 5J, n/a, n/a
Multicoop.-Strat.Balanc.(EUR) C (EUR), Ausgewogen, 7, 5J, n/a, n/a
PB VP Klassik 50 PI 1, Ausgewogen, 7, 5J, 20.25%, 4.91%
Pictet Str.Fd-P.Mandat Aus.EUR P, Ausgewogen, 7, 5J, 27.68%, 6.95%
Pioneer Fds-Global Multi-Asset C(EUR)(Cap.), Ausgewogen, 7, 5J, 22.48%, 8.01%
Raiffeisenfonds-Ertrag (R) A, Ausgewogen, 7, 5J, 30.99%, 5.78%
Sauren Global Balanced A, Ausgewogen, 7, 5J, 23.58%, 3.63%
Schoellerbk Gl.Pension Fds A, Ausgewogen, 7, 5J, 35.78%, 5.45%
Sydbank Vermögensverw. Dynam. A, Ausgewogen, 7, 5J, 28.28%, 6.4%
UBS (D) Konzeptfonds IV, Ausgewogen, 7, 5J, 37.13%, 6.71%
UBS(L.)Strat.Fd-Balanced (EUR) P-acc, Ausgewogen, 7, 5J, 28.86%, 6.03%
UniStrategie: Ausgewogen, Ausgewogen, 7, 5J, 0,44, 6.42%
WALSER Str.-Strategie Balance, Ausgewogen, 7, 5J, 28.19%, 5.9%
Anlagestruktur 1 A EUR, Ausgewogen, 6, 1J, 6.05%, 5.51%
AURETAS strategy balanced (D) C, Ausgewogen, 6, 1J, 3.15%, 4.63%
Basler-International DWS, Ausgewogen, 6, 1J, 6.98%, 5.63%
BERENBERG-1590-STRATEGIE-UNIV. A, Ausgewogen, 6, 1J, 5.49%, 4.48%
Bethmann Vermögensv.Ausgewogen, Ausgewogen, 6, 1J, 8.24%, 6.2%
BHF Tr.Exkl.:BHF Value Bal.FT, Ausgewogen, 6, 1J, 9.47%, 6.16%
BHF Tr.Fd.Exkl.:BHF Ausgew.FT, Ausgewogen, 6, 1J, 6.24%, 4.89%
BHF Tr.Fd.Exkl.:BHF Mul.Ass.FT, Ausgewogen, 6, 1J, 5.27%, 4.21%
Castell VV Ausgewogen I, Ausgewogen, 6, 1J, 5.32%, 3.68%
Credit Suisse MACS Classic 40 P, Ausgewogen, 6, 1J, 6.31%, 4.75%
Credit Suisse MACS Classic 60 P, Ausgewogen, 6, 1J, 8.81%, 6.48%
CS Inv.12-CSL P.F.Balanced EUR B, Ausgewogen, 6, 1J, 5.87%, 5.35%
D&R Strategie - Ausgewogen P, Ausgewogen, 6, 1J, 1.45%, 2.02%
db PBC-DB Best Alloc.-Balance R, Ausgewogen, 6, 1J, 5.3%, 4.89%
Deka-BR 45, Ausgewogen, 6, 1J, 5.71%, 3.79%
Do - Balanced, Ausgewogen, 6, 1J, 3.59%, 2.7%
